id,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,row_id
9035325,538007687,2023-05-24T22:00:17Z,26.12129,-80.07113,0.1,117.6,359,YANGTZE FALCON,IMO9626962,V7DU2,79,1,189,32,9.9,79,A,1
9042120,636019738,2023-05-24T22:00:19Z,27.82255,-97.19161,0,45.7,16,HUNTER,IMO9896414,D5VX6,80,5,330,60,10.7,80,A,1
9035277,366914760,2023-05-24T22:00:20Z,29.78026,-92.18549,0,262.1,511,CANDY DANCER,IMO8993045,WDB5897,60,0,39,7,2.72,60,A,1
9047512,367021170,2023-05-24T22:00:22Z,29.01677,-89.9293,18.2,287.5,511,RAYMOND M,IMO8998162,WDC4224,60,0,44,8,2.4,60,A,1
9033919,566646000,2023-05-24T22:00:24Z,30.21796,-93.25007,0,155.2,269,STRATEGIC FORTITUDE,IMO9753387,9V5012,70,5,179,31.82,8.93,70,A,1
9036127,538007722,2023-05-24T22:00:26Z,29.27893,-94.48254,0,360,279,GENCO MADELEINE,IMO9705976,V7OF6,70,1,200,32,10.5,70,A,1
9037745,563759000,2023-05-24T22:00:26Z,29.83068,-93.95989,0,55.3,27,EAGLE KANGAR,IMO9417024,9V8472,80,5,244,42,9.5,80,A,1
9031726,636010915,2023-05-24T22:00:26Z,27.82058,-96.90964,0,204.3,20,STOLT SPAN,IMO9149524,ELVQ7,80,1,162,23,10.1,82,A,1
9032722,636091186,2023-05-24T22:00:29Z,28.93902,-95.31858,0,268.9,216,HAMBURG STAR,IMO9298325,A8KJ3,80,5,228,32,14.4,80,A,1
9032946,368189190,2023-05-24T22:00:30Z,29.12041,-90.20803,0,315,163,DUKE,IMO9264623,WDM2550,70,0,0,0,3.9,70,A,1
9031298,367633000,2023-05-24T22:00:33Z,27.59292,-86.64809,12.7,269.7,273,LONESTAR STATE,IMO9697985,WLSY,80,0,178,31.65,8.89,80,A,1
9034038,352001189,2023-05-24T22:00:34Z,29.95443,-90.303210000000007,0,174.3,236,EARTH HARMONY,IMO9832470,3E3449,70,1,180,30,9.5,70,A,1
9035547,309587000,2023-05-24T22:00:36Z,27.6331,-82.55976,0,192.1,268,PINE ARROW,IMO9107306,C6NZ3,70,5,189,31,12.8,70,A,1
9037287,241770000,2023-05-24T22:00:38Z,29.36174,-93.71342,0,216.6,138,ATLANTIC,IMO9912139,SVDL8,80,1,274,48,9.6,80,A,1
9035851,319093800,2023-05-24T22:00:39Z,29.91101,-90.08869,0,207.2,251,STOLT PRIDE,IMO9680073,ZGEX9,80,5,185,32.89,9.2,81,A,1
